         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3568    0.112    0.000    0.325    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\inspect.py:2331(_signature_from_function)
      584    0.325    0.001    0.325    0.001 {built-in method torch.multinomial}
   296429    0.321    0.000    0.321    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:1696(__getattr__)
     7720    0.319    0.000    0.319    0.000 {method 'max' of 'torch._C.TensorBase' objects}
   218528    0.293    0.000    0.315    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\utils\sparse.py:114(is_torch_sparse_tensor)
    10704    0.312    0.000    0.312    0.000 {method 'exp' of 'torch._C.TensorBase' objects}
   145640    0.303    0.000    0.303    0.000 {built-in method torch._C._get_tracing_state}
   121312    0.128    0.000    0.298    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\_compile.py:9(is_compiling)
      584    0.006    0.000    0.281    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_compile.py:20(inner)
     3568    0.034    0.000    0.273    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\loader\dataloader.py:71(__init__)
20760/17192    0.014    0.000    0.270    0.000 {built-in method builtins.iter}
    94345    0.057    0.000    0.269    0.000 {built-in method builtins.setattr}
    80720    0.107    0.000    0.268    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\feature_store.py:276(__init__)
     3568    0.004    0.000    0.260    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:426(__iter__)
     3568    0.009    0.000    0.256    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:382(_get_iterator)
   161440    0.206    0.000    0.251    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\view.py:9(_keys)
256960/50808    0.231    0.000    0.248    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2369(named_modules)
     3568    0.017    0.000    0.247    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:659(__init__)
    28544    0.245    0.000    0.245    0.000 {method 'zero_' of 'torch._C.TensorBase' objects}
   663600    0.242    0.000    0.242    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:117(__getitem__)
    39248    0.232    0.000    0.232    0.000 {method 'expand_as' of 'torch._C.TensorBase' objects}
     3568    0.065    0.000    0.224    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:226(__init__)
   161440    0.211    0.000    0.211    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\graph_store.py:109(__init__)
    21408    0.084    0.000    0.206    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\experimental.py:26(is_experimental_mode_enabled)
    14272    0.075    0.000    0.205    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:254(_check_input)
     3568    0.019    0.000    0.205    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\sparse.py:162(forward)
     3568    0.058    0.000    0.202    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\utils\data\dataloader.py:565(__init__)
   168576    0.143    0.000    0.199    0.000 <frozen _collections_abc>:778(__contains__)
    28544    0.194    0.000    0.194    0.000 {method 'new_empty' of 'torch._C.TensorBase' objects}
     4736    0.023    0.000    0.190    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\autograd\profiler.py:604(__enter__)
     3568    0.009    0.000    0.182    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\functional.py:2154(embedding)
     3568    0.181    0.000    0.181    0.000 {method 'repeat' of 'torch._C.TensorBase' objects}
   154304    0.127    0.000    0.174    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:185(items)
     3568    0.171    0.000    0.171    0.000 {built-in method torch.embedding}
   121312    0.087    0.000    0.170    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_dynamo\external_utils.py:14(is_compiling)
      584    0.004    0.000    0.167    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_dynamo\decorators.py:36(disable)
     4736    0.009    0.000    0.166    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_ops.py:846(__call__)
     2920    0.009    0.000    0.166    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_tensor.py:34(wrapped)
    10704    0.092    0.000    0.158    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\functional.py:1279(dropout)
    10704    0.065    0.000    0.157    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:166(<listcomp>)
     4736    0.157    0.000    0.157    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
     3568    0.071    0.000    0.154    0.000 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\gnn.py:127(gatherNodeFeats)
     3568    0.152    0.000    0.152    0.000 {method 'long' of 'torch._C.TensorBase' objects}
      584    0.015    0.000    0.152    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_dynamo\eval_frame.py:351(__call__)
454334/428758    0.126    0.000    0.143    0.000 {built-in method builtins.len}
     3568    0.141    0.000    0.141    0.000 {built-in method torch.arange}
    10704    0.069    0.000    0.139    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\collate.py:95(<listcomp>)
      584    0.098    0.000    0.138    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\adam.py:82(_init_group)
     3572    0.137    0.000    0.137    0.000 {built-in method torch.zeros}
    46720    0.048    0.000    0.134    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\optimizer.py:84(_get_value)
     3568    0.133    0.000    0.133    0.000 {method 'new_ones' of 'torch._C.TensorBase' objects}
    28544    0.079    0.000    0.129    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\inspect.py:2669(__init__)
     4736    0.046    0.000    0.123    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\autograd\profiler.py:610(__exit__)
   170952    0.093    0.000    0.113    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\compiler\__init__.py:157(is_compiling)
   731700    0.113    0.000    0.113    0.000 {method 'get' of 'dict' objects}
    35680    0.042    0.000    0.113    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\jit\_trace.py:1133(is_tracing)
      584    0.004    0.000    0.109    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\_dynamo\eval_frame.py:428(_fn)
   342760    0.106    0.000    0.106    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
    10704    0.032    0.000    0.105    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\container.py:290(__getitem__)
    39248    0.057    0.000    0.102    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\nn\conv\message_passing.py:295(_set_size)
        4    0.000    0.000    0.100    0.025 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\minigrid\environment.py:68(reset)
      584    0.100    0.000    0.100    0.000 {built-in method torch._foreach_sqrt}
      584    0.061    0.000    0.100    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\optimizer.py:793(zero_grad)
     3568    0.088    0.000    0.091    0.000 {built-in method builtins.__build_class__}
